line number,Character,Character pinyin,Character EN translation,Character HE translation ,Related Sentence,Sentence Pinyin,Sentence EN Translation,Sentence HE Translation,Apearances in sentences,Group,Sentence Length
144,难,nán,difficult; hard;,קָשֶׁה; קָשֶׁה;,感到难过,gǎn dào nán guò,Feeling sad,מרגיש עצוב,8,Group 1,4
145,不安,bù'ān,uneasy; restless.,לֹא נוֹחַ; חֲסַר מְנוּחָה.,感到不安,gǎndào bù'ān,Feeling uneasy,מוּפרָע,8,Group 1,4
146,自由,zìyóu,freedom; free;,חוֹפֶשׁ; לְשַׁחְרֵר;,学术自由,xué shù zì yóu,academic freedom,חופש אקדמי,8,Group 1,4
147,背,bèi,"recite, learn by heart;","לדקלם, ללמוד בעל פה;",另外背景,lìng wài bèi jǐng,Additional background,רקע נוסף,8,Group 1,4
148,奇怪,qíguài,strange;,מוּזָר;,得很奇怪,dé hěn qí guài,It's very strange,זה מאוד מוזר,8,Group 1,4
149,眼睛,yǎnjing,eye.,עַיִן.,他的眼睛,tā de yǎn jīng,His eyes,העיניים שלו,8,Group 1,4
150,组织,zǔzhī,organize; organization;,לְאַרגֵן; אִרגוּן;,学生组织,xué shēng zǔ zhī,Student Organizations,ארגוני סטודנטים,8,Group 1,4
151,春,chūn,spring,אָבִיב,春去夏来,chūn qù xià lái,Spring goes and summer comes,האביב הולך והקיץ מגיע,8,Group 1,4
152,细,xì,thin;,דַק;,他眼睛细,tā yǎn jīng xì,His eyes are narrow,העיניים שלו צרות,8,Group 1,4
153,务,wù,Service,שֵׁרוּת,办公室事务繁忙,bàn gōng shì shì wù fán máng,Busy office work,עבודה משרדית עמוסה,14,Group 1,7
154,这,zhè,this,זֶה,这是我最喜欢的书,zhè shì wǒ zuì xǐ huān de shū,This is my favorite book,זה הספר האהוב עליי,137,Group 1,8
155,景,jǐng,scene,סְצֵינָה,山上的景色非常美丽,shān shàng de jǐng sè fēi cháng měi lì,The scenery on the mountain is very beautiful,הנוף על ההר מאוד יפה,22,Group 1,9
156,品,pǐn,Taste,טַעַם,这家店的产品质量很好,zhè jiā diàn de chǎn pǐn zhì liáng hěn hǎo,This store's products are of good quality,המוצרים של חנות זו הם באיכות טובה,15,Group 1,10
157,妈,mā,mom,אִמָא,妈妈为我们准备了晚餐,mā mā wéi wǒ mén zhǔn bèi liǎo wǎn cān,Mom prepared dinner for us,אמא הכינה לנו ארוחת ערב,12,Group 1,10
158,签,qiān,sign,סִימָן,旅游签证,lǚ yóu qiān zhèng,tourist visa,ויזת תייר,7,Group 1,4
159,声,shēng,(a quantifier for utterances),(כמת לאמירות),雷声滚滚,léi shēng gǔn gǔn,Thunder rumbles,רעם רועם,7,Group 1,4
160,飞,fēi,fly;,לָטוּס;,飞机更快,fēi jī gēng kuài,Faster planes,מטוסים מהירים יותר,7,Group 1,4
161,农,nóng,Agriculture,חַקלָאוּת,农民在田里忙碌,nóng mín zài tián lǐ máng lù,Farmers busy in the fields,חקלאים עסוקים בשדות,9,Group 1,7
162,口,kǒu,mouth,פֶּה,请把水倒入口中,qǐng bǎ shuǐ dǎo rù kǒu zhōng,Please pour the water into your mouth,אנא שפך את המים לתוך הפה שלך,12,Group 1,7
163,守,shǒu,guard,מִשׁמָר,卫兵守在城门口,wèi bīng shǒu zài chéng mén kǒu,Guards at the city gate,שומרים בשער העיר,8,Group 1,7
164,忙,máng,busy,עָסוּק,我最近工作很忙,wǒ zuì jìn gōng zuò hěn máng,I've been very busy at work recently,הייתי מאוד עסוק בעבודה לאחרונה,11,Group 1,7
165,划,huá,stroke,שָׁבָץ,他划船划得非常稳,tā huá chuán huá dé fēi cháng wěn,He rowed very steadily,הוא חתר ביציבות רבה,12,Group 1,8
166,因,yīn,because,כִּי,他成功因努力而来,tā chéng gōng yīn nǔ lì ér lái,His success comes from hard work,ההצלחה שלו מגיעה מעבודה קשה,9,Group 1,8
167,整,zhěng,all,כֹּל,房间已经整理整齐,fáng jiān yǐ jīng zhěng lǐ zhěng qí,The room has been tidy,החדר היה מסודר,11,Group 1,8
168,文,wén,arts,אומנויות,他喜欢读古代文学,tā xǐ huān dú gǔ dài wén xué,He likes to read ancient literature,הוא אוהב לקרוא ספרות עתיקה,21,Group 1,8
169,桌,zhuō,table,לוּחַ,我在桌子上写作业,wǒ zài zhuō zǐ shàng xiě zuò yè,I am doing my homework on the table,אני מכין שיעורי בית על השולחן,14,Group 1,8
170,满,mǎn,Full,מָלֵא,花瓶里插满了鲜花,huā píng lǐ chā mǎn liǎo xiān huā,The vase is full of flowers,האגרטל מלא בפרחים,17,Group 1,8
171,任,rèn,appoint,לְמַנוֹת,他被任命为部门经理,tā bèi rèn mìng wéi bù mén jīng lǐ,He was appointed department manager,הוא מונה למנהל מחלקה,9,Group 1,9
172,假,jiǎ,Fake,מְזוּיָף,假期我们计划去旅游,jiǎ qī wǒ mén jì huá qù lǚ yóu,We plan to travel during the holidays,אנחנו מתכננים לנסוע במהלך החגים,13,Group 1,9
